Time,Observed_Value,Fitted_Value,Residual,Segment
1,25.975094655214182,25.0,0.9750946552141819,1
2,21.852050860030413,25.18,-3.3279491399695864,1
3,27.761443826580663,25.36,2.401443826580664,1
4,28.549807092451886,25.54,3.0098070924518865,1
5,19.47668739630772,25.72,-6.243312603692278,1
6,21.733025578040582,25.9,-4.1669744219594165,1
7,26.48908929013531,26.08,0.4090892901353129,1
8,25.248023704500536,26.259999999999998,-1.011976295499462,1
9,26.386236295986272,26.439999999999998,-0.053763704013725544,1
10,23.89025943176454,26.619999999999997,-2.7297405682354565,1
11,29.61407351956105,26.799999999999997,2.8140735195610524,1
12,29.468934193372633,26.979999999999997,2.4889341933726357,1
13,27.371298232195887,27.159999999999997,0.21129823219589028,1
14,30.9471718622977,27.339999999999996,3.6071718622977045,1
15,29.016029895206543,27.519999999999996,1.4960298952065472,1
16,24.95026411877363,27.699999999999996,-2.749735881226364,1
17,29.06000250906399,27.879999999999995,1.1800025090639963,1
18,24.9915756773472,28.059999999999995,-3.0684243226527954,1
19,31.051040964183265,28.239999999999995,2.8110409641832703,1
20,28.260237084843986,28.419999999999995,-0.1597629151560085,1
21,28.00844043665516,28.599999999999994,-0.5915595633448341,1
22,26.601025457907383,28.779999999999994,-2.178974542092611,1
23,32.87213228375689,28.959999999999994,3.912132283756897,1
24,28.645505657379825,29.139999999999993,-0.4944943426201682,1
25,27.94935096907805,29.319999999999993,-1.3706490309219426,1
26,28.37317263843766,29.499999999999993,-1.1268273615623343,1
27,31.38338939377071,29.679999999999993,1.703389393770717,1
28,31.029421005965045,29.859999999999992,1.1694210059650523,1
29,31.360744357107155,30.039999999999992,1.3207443571071629,1
30,31.598627209625217,30.21999999999999,1.3786272096252254,1
31,37.25327232278547,30.39999999999999,6.853272322785479,1
32,29.27947194756922,30.57999999999999,-1.3005280524307707,1
33,29.120823266971072,30.75999999999999,-1.6391767330289184,1
34,28.33592726960678,30.93999999999999,-2.6040727303932094,1
35,33.09113415224158,31.11999999999999,1.9711341522415893,1
36,34.91271133670684,31.29999999999999,3.6127113367068517,1
37,31.11536813550439,31.47999999999999,-0.3646318644955997,1
38,28.9714992737199,31.65999999999999,-2.6885007262800897,1
39,29.201660109788023,31.83999999999999,-2.6383398902119666,1
40,34.101896921039035,32.01999999999999,2.0818969210390463,1
41,35.048413347851,32.66999999999999,2.3784133478510157,2
42,35.05809365857661,33.319999999999986,1.7380936585766236,2
43,31.840368936676164,33.969999999999985,-2.1296310633238207,2
44,35.362916233813486,34.61999999999998,0.7429162338135029,2
45,35.64339458925031,35.26999999999998,0.3733945892503314,2
46,36.61980350953282,35.91999999999998,0.6998035095328419,2
47,39.35857208943419,36.56999999999998,2.7885720894342114,2
48,37.93550575607896,37.21999999999998,0.7155057560789828,2
49,40.04252340183004,37.869999999999976,2.1725234018300625,2
50,38.73625302236443,38.519999999999975,0.2162530223644552,2
51,40.09518207580792,39.16999999999997,0.9251820758079461,2
52,41.8401223226833,39.81999999999997,2.020122322683328,2
53,35.80710137646184,40.46999999999997,-4.662898623538133,2
54,40.0970521076566,41.11999999999997,-1.0229478923433675,2
55,40.264807506263026,41.76999999999997,-1.505192493736942,2
56,40.37559088562127,42.419999999999966,-2.044409114378695,2
57,42.18954479607458,43.069999999999965,-0.8804552039253863,2
58,48.50381219595003,43.71999999999996,4.78381219595007,2
59,41.599340429781584,44.36999999999996,-2.7706595702183776,2
60,48.1184907346927,45.01999999999996,3.0984907346927386,2
61,40.284816730829384,45.66999999999996,-5.385183269170575,2
62,45.24836790404548,46.31999999999996,-1.0716320959544774,2
63,47.490809808335975,46.969999999999956,0.5208098083360184,2
64,49.495911460349646,47.619999999999955,1.8759114603496911,2
65,50.54592505533709,48.26999999999995,2.275925055337133,2
66,51.458711152639715,48.91999999999995,2.538711152639763,2
67,48.45407976880495,49.56999999999995,-1.1159202311949983,2
68,48.74047426347333,50.21999999999995,-1.4795257365266181,2
69,53.61552282002284,50.86999999999995,2.7455228200228916,2
70,50.907826160378775,51.519999999999946,-0.6121738396211711,2
71,48.0878037653186,52.169999999999945,-4.082196234681348,2
72,49.19348091518881,52.81999999999994,-3.626519084811136,2
73,50.527752684794784,53.46999999999994,-2.942247315205158,2
74,55.710914380971985,54.11999999999994,1.5909143809720447,2
75,55.22576235542575,54.76999999999994,0.45576235542581145,2
76,57.6295531330168,55.41999999999994,2.209553133016861,2
77,54.70279153172303,56.069999999999936,-1.3672084682769068,2
78,57.22732701144542,56.719999999999935,0.5073270114454829,2
79,59.37188926069541,57.36999999999993,2.001889260695478,2
80,57.03009107289517,58.01999999999993,-0.9899089271047643,2
81,59.23168076018365,57.76999999999993,1.461680760183718,3
82,55.401836988586645,57.51999999999993,-2.1181630114132872,3
83,56.108227690991704,57.26999999999993,-1.161772309008228,3
84,55.79843873920528,57.01999999999993,-1.221561260794651,3
85,52.943313134115,56.76999999999993,-3.8266868658849305,3
86,58.07831193851379,56.51999999999993,1.5583119385138602,3
